# RELIQUARY — Kartentexte Chinesisch (vereinfacht)
# Blöcke: "## Englischer Name" als Schlüssel, dann n/s/lN/tN.
# Archetype-Namen (verbindlich): Apocrypha=伪典 Archfiend=狱魔 Barrierstruck=障壁
# Deathpoem=挽诗 Deckay=朽库 Dragon Shrine=龙祠 Failsafe=保险 Fethaerbreese=羽风
# Forgeheart=锻心 Gaslight=惑光 Genostitched=缝生 Gravemaw=墓喉 Heavenly=天界
# Hexweaver=咒织 Kindlekin=薪火 Lightless=无光 Lyria=莉里亚 Manacle=铁镣
# Mechination=机谋 Mimicrypt=拟墓 Paperbound=纸缚 Powderkeg=药桶 Redactor=涂墨
# Sacrilegion=渎圣军 Sleightwind=巧风 Slowburn=慢燃 Snugglet=偎偎兽 Tidebound=缚潮
# Trapline=陷线 Wyldpack=野群
## Abyss Titan
t1 支付3点法力：对手控制的1只怪兽本回合不能攻击；抽1张卡。
## Paperbound Red Tape
n 纸缚繁文缛节
l0 繁文缛节
t0 支付1点法力：对手控制的1只怪兽本回合不能攻击。
l1 缠上几里长
t1 改为支付2点法力：至多2只怪兽。
## Paperbound Rubber Stamp
n 纸缚橡皮图章
l0 盖章归档
t0 此卡被召唤时：把对手控制的1只怪兽转为守备表示。
l1 永久封存
t1 改为支付1点法力：它本回合也不能改变表示形式。
## Paperbound Waiting Room
n 纸缚候客室
l0 请稍候
t0 每回合一次：对手控制的1只怪兽本回合不能攻击。
l1 预计等待时间：永远
t1 改为支付3点法力：另外，对手本回合不能特殊召唤。
## Paperbound, Supreme Bureau
n 纸缚·最高衙门
s 对手控制3只以上怪兽。费用3点法力。
l0 衙门裁定
t0 此卡被召唤时：对手的所有怪兽本回合不能攻击。
l1 许可吊销
t1 支付2点法力：对手本回合不能特殊召唤。
## Paperbound, the Final Rejection
n 纸缚·最终驳回
s 你控制2只以上怪兽且你的墓地有4张以上的卡。费用3点法力。
l0 申请被拒
t0 此卡被召唤时：把对手的所有怪兽转为守备表示。
l1 永不受理
t1 改为支付2点法力：另外，其中至多2只本回合不能攻击。
l2 驳回
t2 每回合一次，双方回合皆可：支付2点法力；场上1张卡的效果无效，直到本回合结束。
## Parley
n 谈判
l0 谈判
t0 支付1点法力：只能在战斗阶段发动：结束该战斗阶段。对手抽1张卡。
## Participation Trophy
n 参与奖
l0 照样庆祝
t0 每回合一次，装备的怪兽在战斗中破坏怪兽时：获得300 LP。
## Past Your Bedtime
n 早该睡了
l0 早该睡了
t0 支付3点法力：把至多5只攻击力1200以下的怪兽返回持有者的手牌。
l1 九点熄灯
t1 改为支付5点法力：1800以下。
## Pennywhistle, Who Calls It in the Air
n 空中喊话的小哨佩妮
l0 空中喊话
t0 此卡被召唤时：掷硬币。正面——从你的卡组把1张法术加入手牌。反面——把你卡组顶的2张卡送入墓地。
l1 加倍下注
t1 支付1点法力：掷硬币。正面——本回合获得2点法力。反面——你的下个回合少1点法力。
## Petitioner of the Dragon Shrine
n 龙祠请愿者
l0 卑微请愿
t0 此卡被召唤时：从你的卡组把1张“龙祠”卡加入手牌。
l1 祈愿应验
t1 改为支付2点法力：从你的卡组把1张“龙祠”卡和1只龙族怪兽加入手牌。
## Pillow Fort
n 枕头堡垒
l0 枕头堡垒
t0 支付1点法力：你在本回合剩余时间内不受战斗伤害。
l1 加固软垫
t1 改为支付2点法力：另外，你控制的1只怪兽获得500守备力，直到本回合结束。
## Planned Obsolescence
n 计划性报废
l0 计划性报废
t0 支付1点法力：破坏对手控制的1张法术或神器。
l1 停止支持
t1 改为支付2点法力：破坏至多2张。
## Plot Armor
n 主角光环
l0 主角光环
t0 支付1点法力：你控制的1只怪兽本回合不会被破坏。
l1 主人公
t1 改为支付3点法力：它还获得500攻击力，直到本回合结束。
## Poacher's Lantern
n 盗猎者的提灯
l0 盗猎者的提灯
t0 支付2点法力（任意一方都可以发动）：从另一方玩家的墓地特殊召唤1只攻击力2000以下的怪兽到你的场上。它本回合不能攻击，离场时被放逐。
## Pound of Flesh
n 一磅血肉
l0 一磅血肉
t0 支付1点法力和1500 LP：破坏对手控制的1只攻击力1500以下的怪兽。
l1 两磅血肉
t1 改为支付2点法力和3000 LP：破坏对手控制的1只攻击力3000以下的怪兽。
## Powderkeg Blastplate
n 药桶爆破板
l0 弹片
t0 此卡被破坏时：你控制的1只怪兽获得400攻击力，直到本回合结束。
## Powderkeg Brass Sweep
n 药桶弹壳清扫
l0 扫弹壳
t0 支付1点法力：从你的墓地把至多2张“药桶”神器返回手牌。
l1 大扫除
t1 改为支付2点法力：任意名字的至多3张神器。
## Powderkeg Cannoneer
n 药桶炮手
l0 还击
t0 双方回合皆可：破坏你控制的1张神器；破坏对手控制的1只攻击力1000以下的怪兽。（没有每回合限制——弹药就是限制。）
l1 重炮
t1 改为支付3点法力：2000以下。
## Powderkeg Chain Reaction
n 药桶连锁反应
l0 连锁反应
t0 破坏你控制的至多2张神器；破坏对手控制的至多2只攻击力1000以下的怪兽。
l1 殉爆
t1 改为支付3点法力：1600以下。
## Powderkeg Demolitionist
n 药桶爆破工
l0 定向爆破
t0 支付2点法力：破坏你控制的1张神器；破坏对手控制的1张法术或神器。
## Powderkeg Duck and Cover
n 药桶卧倒掩护
l0 卧倒掩护
t0 破坏你控制的1张神器；你控制的1只怪兽本回合不会被破坏。
l1 躲进沙袋后
t1 改为支付2点法力：另外抽1张卡。
## Powderkeg Fusewright
n 药桶引信匠
l0 重接引线
t0 此卡被召唤时：从你的墓地把1张“药桶”神器放置到你的神器区域。
l1 全新引信
t1 改为支付2点法力：改为从你的卡组；抽1张卡。
## Powderkeg Loader
n 药桶装填手
l0 装满弹架
t0 此卡被召唤时：从你的卡组把1张“药桶”神器放置到你的神器区域。
l1 双份装填
t1 改为支付2点法力：另外再把1张加入手牌。
## Powderkeg Magazine
n 药桶弹药库
l0 囤积
t0 每回合一次：支付1点法力；从你的卡组把另1张“药桶”神器放置到你的神器区域。
l1 弹药殉爆
t1 此卡被破坏时：抽1张卡。
## Powderkeg Misfire
n 药桶哑火
l0 哑火
t0 支付1点法力：破坏你控制的1张神器；抽2张卡并获得1点法力。
l1 抢救桶身
t1 改为支付1点法力：另外获得1点法力。
## Powderkeg Munitions Dump
n 药桶军火堆
l0 库存充足
t0 此卡被破坏时：从你的卡组把1张“药桶”神器放置到你的神器区域。
l1 撬开一箱
t1 每回合一次——支付1点法力：破坏你控制的另1张神器；抽1张卡。
## Powderkeg Point-Blank
n 药桶抵近射击
l0 抵近射击
t0 支付1点法力：破坏你控制的1张神器；破坏对手控制的1张卡。（没有每回合限制。）
l1 全舷齐射
t1 改为支付3点法力：破坏你的2张神器；破坏对手的至多2张卡。
## Powderkeg Quartermaster
n 药桶军需官
l0 申领物资
t0 此卡被召唤时：从你的卡组把至多2张“药桶”神器放置到你的神器区域。
l1 完整清单
t1 改为支付3点法力：另外抽1张卡。
## Powderkeg Shellcrate
n 药桶弹药箱
l0 发射药
t0 此卡被破坏时：获得1点法力。
## Powderkeg Sparkplug
n 药桶火花塞
l0 短引信
t0 每回合一次：破坏你控制的1张神器；抽1张卡。
l1 连锁反应
t1 改为支付2点法力：抽2张卡。
## Powderkeg, First Spark
n 药桶·第一颗火星
s 你控制1张以上神器且你的墓地有2张以上的卡。费用2点法力。
l0 开火第一炮
t0 此卡被召唤时：从你的卡组把1张“药桶”神器放置到你的神器区域。
l1 警告射击
t1 每回合一次，双方回合皆可：破坏你控制的1张神器；场上1张卡的效果无效，直到本回合结束。
## Powderkeg, Zero Hour
n 药桶·零点时刻
s 你的墓地有4张以上神器。费用3点法力。
l0 全部装填
t0 此卡被召唤时：从你的墓地把至多2张“药桶”神器放置到你的神器区域。
l1 自由射击
t1 破坏你控制的1张神器；破坏对手控制的1只攻击力1500以下的怪兽。
## Powderkeg, the Last Salvo
n 药桶·最后的齐射
s 你控制2张神器且你的墓地有3张以上神器。费用3点法力。
l0 自由射击
t0 双方回合皆可：破坏你控制的1张神器；破坏对手控制的1张卡。（没有每回合限制——弹药就是限制。）
l1 重新装填
t1 每回合一次：支付2点法力；从你的墓地把1张“药桶”神器放回你的神器区域。
## Purge
n 净化
l0 净化
t0 以场上1只怪兽为目标；其攻击力与守备力恢复原值（移除所有临时与永久增减）。
## Put a Pin in It
n 先搁一搁
l0 先搁一搁
t0 支付2点法力：把对手控制的1只表侧怪兽以里侧盖下。
l1 无限期搁置
t1 改为支付4点法力：至多2只。
## Rainy-Day Fund
n 应急储蓄
l0 应急储蓄
t0 在你的准备阶段：获得200 LP。
l1 打破存钱罐
t1 你可以把此卡送入墓地：获得800 LP。
## Raise the Failsafes
n 启动保险装置
l0 系统上线
t0 从你的卡组把至多2张“保险”神器盖放到场上。
## Rally the Weak
n 弱者集结
l0 弱者集结
t0 支付1点法力：从你的卡组以守备表示特殊召唤至多3只没有效果的怪兽。
## Ram's Head
n 公羊头锤
## Reactive Plating
n 反应装甲
l0 支撑
t0 以你控制的1只怪兽为目标；它获得800守备力，直到本回合结束。
l1 全面部署
t1 以你控制的1只怪兽为目标；它获得800守备力，直到本回合结束，然后从你的卡组把1张“障壁”神器放置到场上。
## Rebirth
n 转生
l0 转生
t0 支付2点法力；从你的墓地特殊召唤1只怪兽。
## Redactor Archivist
n 涂墨档案员
l0 越过你的肩膀读
t0 每回合一次，对手在其抽卡阶段以外抽卡时：支付1点法力；抽1张卡。
## Redactor Black Vault
n 涂墨黑库
l0 收进黑库
t0 每回合一次，对手在其抽卡阶段以外抽卡时：对手随机丢弃1张卡。
l1 黑库满溢
t1 支付2点法力：把对手卡组顶的2张卡送入墓地。
## Redactor Blackbar
n 涂墨黑条
l0 重度涂黑
t0 每回合一次，对手在其抽卡阶段以外抽卡时：对手控制的1只怪兽永久失去300攻击力。
l1 没剩下什么可读
t1 改为支付2点法力：500。
l2 彻底删除
t2 每回合一次：支付2点法力；从对手的墓地放逐1张卡。
## Redactor Burn Before Reading
n 涂墨·阅前焚毁
l0 阅前焚毁
t0 支付2点法力：把对手卡组顶的3张卡送入墓地。
l1 灰烬归档
t1 改为支付3点法力：另外从其墓地放逐1张卡。
## Redactor Censor
n 涂墨审查员
l0 划掉这句
t0 每回合一次，对手在其抽卡阶段以外抽卡时：把其卡组顶的1张卡送入墓地。
l1 全部划掉
t1 改为支付2点法力：顶端2张。
## Redactor Chief Censor
n 涂墨审查总长
l0 删节段落
t0 每回合一次，对手在其抽卡阶段以外抽卡时：把其卡组顶的2张卡送入墓地。
l1 赠阅本
t1 支付2点法力：对手抽1张卡。
## Redactor Classified
n 涂墨机密文件
l0 机密
t0 支付2点法力：对手控制的1只表侧怪兽本回合不能改变表示形式；然后将其以里侧盖下。
l1 权限不足
t1 改为支付4点法力：至多2只。
## Redactor Errata Slip
n 涂墨勘误单
l0 勘误单
t0 对手抽1张卡；你抽1张卡。
l1 加长更正
t1 改为支付2点法力：你改为抽2张。
## Redactor Freedom of Information
n 涂墨信息自由
l0 信息自由
t0 支付1点法力：丢弃1张卡；抽2张卡。
l1 全面公开
t1 改为支付2点法力：抽3张卡。
## Redactor Inkling
n 涂墨墨滴
l0 字字有价
t0 每回合一次，对手在其抽卡阶段以外抽卡时：此卡永久获得200攻击力。
l1 连字母也要钱
t1 改为支付1点法力：200攻击力和200守备力。
## Redactor Mandatory Reading
n 涂墨必读书目
l0 必读书目
t0 支付1点法力：对手抽1张卡。
l1 布置作业
t1 改为支付2点法力：你也抽1张卡。
## Redactor Minister of Records
n 涂墨档案大臣
l0 国家机密
t0 每回合一次，对手在其抽卡阶段以外抽卡时：对手随机丢弃1张卡。
l1 国家封存
t1 改为支付2点法力：对手的下个回合也少1点法力。
## Redactor Ministry Seal
n 涂墨部级印章
l0 官方机密
t0 每回合一次，对手在其抽卡阶段以外抽卡时：对手的下个回合少1点法力。
l1 绝密
t1 改为支付2点法力：另外把其卡组顶的1张卡送入墓地。
## Redactor Proofreader
n 涂墨校对员
l0 字字有价
t0 每回合一次，对手在其抽卡阶段以外抽卡时：获得1点法力。
l1 逐条收费
t1 改为支付1点法力：另外抽1张卡。
## Redactor Struck from Record
n 涂墨·从记录中抹去
l0 从记录中抹去
t0 从对手的墓地放逐至多2张卡；抽1张卡。
l1 清洗版本
t1 改为支付3点法力：至多4张。
## Redactor, Final Edition
n 涂墨·最终版
s 你的墓地有6张以上的卡 — 支付4法力。
l0 付印期限
t0 每回合一次，对手在其抽卡阶段以外抽卡时：对手随机丢弃1张卡。
l1 停止印刷
t1 改为支付2点法力：另外把其卡组顶的2张卡送入墓地。
l2 档案打成纸浆
t2 每回合一次：支付2点法力；从对手的墓地放逐至多3张卡。
## Redactor, the Unprinted Truth
n 涂墨·未付印的真相
s 对手的墓地有6张以上的卡。费用3点法力。
l0 强制阅读
t0 此卡被召唤时：对手抽2张卡，然后随机丢弃2张卡。
l1 墨水枯竭
t1 支付2点法力，对手在其抽卡阶段以外抽卡时：对手控制的1只怪兽永久失去400攻击力。
## Retail Therapy
n 购物疗法
l0 购物疗法
t0 支付3点法力：从你的卡组把1张神器加入手牌；获得300 LP。
l1 犒劳自己
t1 改为支付4点法力：获得600 LP并抽1张卡。
## Rising Tide
n 涨潮
l0 涨潮
t0 从你的卡组把1只“缚潮”怪兽加入手牌。
l1 洪水猛涨
t1 从你的卡组把1只“缚潮”怪兽加入手牌，然后从你的手牌特殊召唤1只1级“缚潮”怪兽。
## Rook's Gambit
n 车翼弃兵
l0 王车易位
t0 每回合一次：把此卡移动到你控制的任意空怪兽区域。
## Rune Blade
n 符文之刃
## Ryka the Warhorn
n 战号角莱卡
l0 吹响冲锋
t0 每回合一次：你可以支付2点法力；攻击力2000以下的目标己方怪兽在本战斗阶段可以再攻击一次。
## Sabine, Who Wagers the Crown
n 押上王冠的萨宾
s 你的LP低于对手且你的墓地有4张以上法术——支付3点法力。
l0 押上王冠
t0 此卡被召唤时：掷硬币。正面——破坏对手控制的所有怪兽。反面——破坏你控制的所有其他怪兽。
l1 孤注一掷
t1 支付2点法力：掷硬币。正面——此卡本战斗阶段可以攻击两次。反面——它本回合不能攻击。
## Sable the Veilkeeper
n 持纱者塞布尔
l0 夜幕裹身
t0 每回合一次：你可以支付2点法力；从你的手牌把1只怪兽以里侧守备表示特殊召唤。
## Sacrificial Ham
n 献祭火腿
l0 死得漂亮
t0 此卡被祭献时：获得300 LP。
## Sacrilegion Acolyte
n 渎圣军侍僧
l0 诵读仪轨
t0 此卡被通常召唤的场合：从你的卡组把1只1级光属性怪兽加入手牌。
l1 唤起倒下者
t1 你可以支付2点法力：从你的墓地特殊召唤1只1级光属性怪兽。
## Sacrilegion Altar Boy
n 渎圣军祭坛侍童
l0 甘愿侍奉
t0 此卡被祭献时：从你的墓地特殊召唤1只1级光属性怪兽。
l1 信仰的差事
t1 支付1点法力并把此卡从手牌送入墓地：从你的卡组把1张“渎圣军”卡加入手牌。
## Sacrilegion Binding Chain
n 渎圣军束缚锁链
l0 束缚
t0 此卡被装备时：对手控制的1只怪兽本回合不能攻击。
## Sacrilegion Blood Dividend
n 渎圣军血之分红
l0 血之分红
t0 每回合一次，你控制的怪兽被祭献时：获得300 LP。
l1 特别分红
t1 改为支付1点法力：另外抽1张卡。
## Sacrilegion Broken Vow
n 渎圣军破碎誓言
s 你不控制怪兽且你的墓地有5张以上的卡。费用3点法力。
l0 重新开始
t0 此卡被召唤时：从你的墓地特殊召唤1只1级光属性怪兽。
l1 解除誓约
t1 你可以支付3点法力：从任意墓地放逐1张卡。
## Sacrilegion Cold Congregation
n 渎圣军冷清教众
l0 冷清教众
t0 支付2点法力：从你的墓地把至多2只“渎圣军”怪兽以里侧特殊召唤。
l1 座无虚席
t1 改为支付4点法力：至多3只。
## Sacrilegion Covenant Stone
n 渎圣军圣约石
l0 石头记得
t0 在你的准备阶段：从你的墓地把1只1级光属性怪兽加入手牌。
l1 石头回应
t1 你可以支付2点法力：从你的墓地特殊召唤1只1级光属性怪兽。
## Sacrilegion Divine Exchange
n 渎圣军神圣交换
l0 神圣交换
t0 破坏你控制的1只怪兽；从你的墓地特殊召唤1只2级光属性怪兽。
l1 优厚条款
t1 改为支付3点法力：另外获得2点法力。
## Sacrilegion First Sacrament
n 渎圣军第一圣礼
s 你与对手各控制1只以上怪兽 — 支付2法力。
l0 第一仪式
t0 此卡被召唤时：将你控制的另1只怪兽与对手最强的怪兽送入墓地。
## Sacrilegion Grand Sacrist
n 渎圣军大司圣
l0 收集圣物
t0 此卡被召唤时：从你的墓地把1张“渎圣军”卡加入手牌。
## Sacrilegion Herald
n 渎圣军传令官
l0 吹响誓约
t0 此卡被召唤时：从你的卡组把1只2级光属性怪兽加入手牌。
l1 吹低一些
t1 你可以支付2点法力：从你的卡组把1只1级光属性怪兽加入手牌。
## Sacrilegion Mass Offering
n 渎圣军弥撒献祭
l0 弥撒献祭
t0 从你的墓地特殊召唤至多2只1级光属性怪兽。
l1 大弥撒
t1 改为支付3点法力：至多3只。
## Sacrilegion Oathling
n 渎圣军誓约童子
## Sacrilegion Ossuary Altar
n 渎圣军藏骨祭坛
l0 每一根骨头都算数
t0 每回合一次，你控制的怪兽被祭献时：抽1张卡。
l1 唤起信众
t1 支付2点法力：从你的墓地特殊召唤1只1级光属性怪兽。
## Sacrilegion Pledgebearer
n 渎圣军持誓者
l0 献出誓言
t0 每回合一次：把此卡从手牌送入墓地；从你的墓地特殊召唤1只1级光属性怪兽。
## Sacrilegion Rite of Return
n 渎圣军归返仪式
l0 归返仪式
t0 支付1点法力：从你的墓地特殊召唤1只1级光属性怪兽；获得2点法力。
## Sacrilegion Sanctifier
n 渎圣军祝圣者
l0 钉在原地
t0 此卡被召唤时：对手控制的1只怪兽本回合不能攻击。
l1 打发走
t1 改为支付3点法力：把该怪兽返回持有者的手牌。
l2 唤起倒下者
t2 你可以支付2点法力：从你的墓地特殊召唤1只1级光属性怪兽。
## Sacrilegion Second Sacrament
n 渎圣军第二圣礼
s 你控制2只以上怪兽且墓地有4张以上的卡 — 支付3法力。
l0 至少带一个回来
t0 此卡被召唤时：从你的墓地特殊召唤1只1级光属性怪兽。
l1 带两个回来
t1 改为支付2点法力：从你的墓地特殊召唤至多2只1级光属性怪兽。
## Sacrilegion Severance
n 渎圣军遣散
l0 遣散费
t0 支付1点法力：破坏你控制的1只怪兽；获得2点法力。
l1 黄金降落伞
t1 改为支付2点法力：获得3点法力并抽1张卡。
## Sacrilegion Sworn Oath
n 渎圣军立誓
l0 立誓
t0 支付1点法力：从你的手牌特殊召唤1只1级光属性怪兽。
## Sacrilegion Third Sacrament
n 渎圣军第三圣礼
s 你控制1只以上怪兽、对手控制2只以上、你的墓地有5张以上的卡 — 支付5法力。
l0 第三仪式
t0 此卡被召唤时：将你控制的另1只怪兽与对手最强的2只怪兽送入墓地。
## Sacrilegion Twice-Blessed
n 渎圣军双重受福者
## Sacrilegion Vowkeeper
n 渎圣军守誓者
l0 守住誓言
t0 每回合一次：从你的墓地特殊召唤1只攻击力1000以下的1级光属性怪兽。
l1 打破誓言
t1 改为支付3点法力：从你的卡组特殊召唤1只1级光属性怪兽。
## Sacrilegion Willing Lamb
n 渎圣军甘愿羔羊
l0 甘愿
t0 此卡被祭献时：抽1张卡。
l1 再次自愿
t1 每回合一次，此卡在你的墓地时：支付2点法力；将其以里侧盖放到你的场上。
## Sacrilegion, Communion of Bone
n 渎圣军·白骨圣餐
s 你控制2只以上怪兽且墓地有6张以上的卡 — 支付5法力。
l0 圣餐
t0 此卡被召唤时：从你的墓地特殊召唤至多2只1级光属性怪兽。
l1 最后仪式
t1 支付3点法力并祭献你控制的另1只怪兽：破坏对手控制的1只怪兽。
## Sacrilegion, the Last Oath
n 渎圣军·最后的誓言
s 你控制3只以上怪兽、对手控制1只以上、你的墓地有8张以上的卡 — 支付6法力。
l0 誓言已守
t0 此卡被召唤时：从你的墓地特殊召唤至多2只1级光属性怪兽。
l1 誓言高举
t1 改为支付4点法力：从你的墓地特殊召唤至多2只2级光属性怪兽。
l2 按住他们
t2 你可以支付3点法力：对手控制的1只怪兽本回合不能攻击。
## Second Opinion
n 第二意见
l0 第二意见
t0 支付2点法力：丢弃1张卡；抽2张卡。
l1 第三意见
t1 改为支付3点法力：丢弃1张卡；抽3张卡。
## Second Sight
n 预视
l0 一瞥
t0 抽1张卡。
l1 清晰视界
t1 抽2张卡。
## Second Thoughts
n 转念一想
l0 转念一想
t0 此卡被召唤时：把你控制的1张法术或神器返回手牌。
l1 三思之后
t1 改为支付2点法力：另外抽1张卡。
## Second Wind
n 重振旗鼓
l0 重振旗鼓
t0 支付2点法力：你本回合可以额外通常召唤1只怪兽。
l1 再振旗鼓
t1 改为支付4点法力：额外2次。
## Security Blanket
n 安心毯
l0 掖好被角
t0 打出时：你控制的1只怪兽本回合不会被破坏。
## Sentry Totem
n 哨戒图腾
l0 警告射击
t0 对手召唤怪兽时：你可以支付1点法力；对手控制的1只怪兽永久失去300攻击力。
## Seraph of Dawn
n 破晓炽天使
l0 最初之光
t0 此卡被召唤时：你获得1000 LP。
l1 破晓的怜悯
t1 你可以支付3点法力：从你的墓地特殊召唤1只1级怪兽。
## Serjeant Halloway
n 哈洛威中士
l0 列队集合
t0 支付1点法力：把此卡移动到你控制的空怪兽区域。
## Set in Stone
n 板上钉钉
l0 板上钉钉
t0 速攻·支付1点法力：以场上1只怪兽为目标；它本回合不能改变表示形式。
## Shadow Grasp
n 暗影之握
l0 自暗中攫取
t0 支付1点法力；把对手的1只怪兽返回手牌。
## Shadow Panther
n 暗影黑豹
l0 影跃
t0 每回合一次：你可以支付2点法力；把对手的1只怪兽返回手牌。
## Sharpening Stone
n 磨刀石
## Shield Warden
n 持盾卫士
## Show Me Your Hands
n 把手举起来
l0 把手举起来
t0 支付1点法力：查看对手的手牌并选择其中1张；对手丢弃那张卡。
## Shrinekeeper Dragon
n 守祠龙
l0 晨间仪式
t0 在你的准备阶段：你可以从你的墓地特殊召唤1只1级龙族怪兽。
l1 守护者之息
t1 你可以支付2点法力：以你控制的1只龙族怪兽为目标；它获得500守备力，直到本回合结束。
## Sift, Who Reads the Bones
n 读骨者希夫特
l0 掷骨占卜
t0 此卡被召唤时：把你卡组顶的2张卡送入墓地。
l1 再读一次
t1 墓地·你可以支付1点法力；从你的墓地放逐此卡，然后从你的墓地把1只怪兽加入手牌。
## Sign in Blood
n 血字签名
l0 血字签名
t0 支付2点法力和2000 LP：从你的卡组特殊召唤1只2级怪兽。其效果无效直到结束阶段，且它本回合不能攻击。
## Signs of Deckay
n 朽库之兆
l0 收回失物
t0 在你的准备阶段：你可以把你墓地中至多2张卡洗回卡组。
## Silt the Dredger
n 清淤者希尔特
l0 清淤
t0 每回合一次：你可以支付2点法力；把你卡组顶的3张卡送入墓地。
## Silver Lining
n 一线光明
l0 一线光明
t0 支付1点法力：对手控制的怪兽比你多的场合：抽2张卡并获得1点法力。
l1 云开雾散
t1 改为支付2点法力：另外获得2点法力。
## Skarn, the Second Hunger
n 第二饥饿斯卡恩
s 对手控制2只以上怪兽。费用3点法力。
l0 双颚齐张
t0 此卡被召唤时：它本回合可以额外攻击一次。
## Skimmed Off the Top
n 截留抽成
l0 截留抽成
t0 支付1点法力：当对手发动将给其带来法力的卡或效果时发动：对方一无所获——改为由你获得那些法力（在对手回合截留的法力计入你的下个回合）。
## Sleep On It
n 睡一觉再说
l0 睡一觉再说
t0 支付1点法力：你的下个回合多3点法力。
l1 睡得像块石头
t1 改为支付1点法力：多3点。
## Sleightwind Bait-and-Switch
n 巧风偷梁换柱
l0 偷梁换柱
t0 支付1点法力：把你的1只怪兽返回手牌；从你的手牌把1只怪兽以里侧盖放。
l1 双重障眼
t1 改为支付2点法力：另外抽1张卡。
## Sleightwind Card Counter
n 巧风算牌人
l0 算牌
t0 此卡被召唤时，对手手牌比你多的场合：抽1张卡。
l1 庄家必输
t1 改为支付2点法力：抽到与其手牌数持平（至多3张）。
## Sleightwind Choir of Two
n 巧风二人唱诗班
s 你的墓地有3张以上的卡。费用2点法力。
l0 唱回来
t0 每回合一次：从你的墓地把1只怪兽加入手牌。
l1 全部唱回来
t1 改为支付3点法力：从你的墓地把至多2张卡加入手牌。
l2 让空气静止
t2 你可以支付2点法力：对手控制的1只怪兽本回合不能攻击。
## Sleightwind Curtainjumper
n 巧风跳幕人
l0 跳吓
t0 每回合一次，双方回合皆可：从手牌丢弃此卡；对手控制的1只怪兽失去500攻击力，直到本回合结束。
l1 干脆变没
t1 支付2点法力：把对手控制的1只攻击力1500以下的怪兽返回持有者的手牌。
## Sleightwind Doubtbringer
n 巧风播疑者
l0 转念起疑
t0 每回合一次，双方回合皆可：从手牌丢弃此卡；场上1张卡的效果无效，直到本回合结束。
l1 挥之不去的疑虑
t1 改为支付3点法力：另外让那张卡永久失去500攻击力。
l2 忆起一句耳语
t2 你可以支付2点法力：从你的墓地把1只1级风属性怪兽加入手牌。
## Sleightwind False Bottom
n 巧风夹层箱底
l0 双层衬里
t0 每回合一次——支付1点法力：丢弃1张卡；抽1张卡。
## Sleightwind Hush
n 巧风噤声
l0 噤声
t0 支付1点法力：从你的墓地把1只1级风属性怪兽加入手牌。
## Sleightwind Marked Deck
n 巧风做记号的牌
l0 做记号的牌
t0 每回合一次：丢弃1张卡；抽1张卡。
l1 做好手脚的牌
t1 改为支付2点法力：丢弃1张卡；抽2张卡。
## Sleightwind Maskbearer
n 巧风持面具者
l0 取走面容
t0 每回合一次，双方回合皆可：从手牌丢弃此卡；把场上1只怪兽返回持有者的手牌。
l1 取走记忆
t1 你可以支付3点法力：从对手的墓地放逐1张卡。
## Sleightwind Misdirection
n 巧风声东击西
l0 声东击西
t0 场上1张卡的效果无效，直到本回合结束。
l1 看那边！
t1 改为支付3点法力：另外抽1张卡。
## Sleightwind Nothing to See
n 巧风没什么可看
l0 没什么可看
t0 支付1点法力：把你的1只里侧怪兽返回手牌；抽2张卡并获得1点法力。
l1 都散了吧
t1 改为支付2点法力：改为抽3张卡。
## Sleightwind Palmist
n 巧风掌中戏法师
l0 藏牌换牌
t0 每回合一次，双方回合皆可：从手牌丢弃此卡；抽1张卡。
l1 读掌纹
t1 此卡被召唤时：从你的墓地把1只1级风属性怪兽加入手牌。
## Sleightwind Rigged Deck
n 巧风动过手脚的牌
l0 动过手脚的牌
t0 丢弃2张卡；抽3张。
l1 叠得更深
t1 改为支付2点法力：另外获得1点法力。
## Sleightwind Second Face
n 巧风第二张脸
l0 第二张脸
t0 支付1点法力：从你的卡组把1只1级风属性怪兽加入手牌；获得2点法力。
## Sleightwind Thornmother
n 巧风荆棘之母
l0 蔓生荆棘
t0 每回合一次，双方回合皆可：从手牌丢弃此卡；对手控制的1只怪兽永久失去600攻击力。
## Sleightwind Whisperer
n 巧风低语者
l0 嘘
t0 每回合一次，双方回合皆可：从手牌丢弃此卡；对手控制的1只怪兽本回合不能攻击。
l1 彻底噤声
t1 改为支付2点法力：该怪兽本回合也不能改变表示形式。
## Sleightwind the Unwitnessed
n 巧风·无人目击者
s 你的墓地有6张以上的卡且你不控制怪兽。费用3点法力。
l0 抹消
t0 每回合一次：对手控制的1张攻击力2000以下的卡的效果无效，直到本回合结束。
l1 彻底抹消
t1 改为支付4点法力：另外把那张卡返回持有者的手牌。
l2 什么都没丢
t2 你可以支付2点法力：从你的墓地把1只1级风属性怪兽加入手牌。
## Sleightwind, Ace Up the Sleeve
n 巧风·袖中王牌
l0 袖中王牌
t0 每回合一次，双方回合皆可：从手牌丢弃此卡；把对手控制的1只怪兽返回持有者的手牌。
l1 第二张王牌
t1 每回合一次：支付1点法力；丢弃1张卡；抽1张卡。
## Sleightwind, the Perfect Trick
n 巧风·完美戏法
s 你的墓地有5张以上的卡且对手控制的怪兽比你多。费用3点法力。
l0 化境
